Zabit Magomedsharipov,F,54.87%,83
Zelim Imadaev,F,44.75%,22
Alexander Volkov,F,43.29%,73
Khadis Ibragimov,F,39.53%,39.5
Magomed Ankalaev,F,31.28%,85
Roosevelt Roberts,F,26.88%,53
Karl Roberson,F,25.56%,74.5
Roman Kopylov,F,25.43%,18.5
Abubakar Nurmagomedov,F,23.89%,10
Klidson Abreu,F,23.63%,21
Greg Hardy,F,23.52%,23
Dalcha Lungiambula,F,22.82%,3
Davey Grant,F,22.34%,86
Ed Herman,F,22.30%,70.5
Calvin Kattar,F,19.61%,40
Rustam Khabilov,F,18.51%,59
Anthony Rocco Martin,F,17.22%,50.5
Jessica-Rose Clark,F,15.46%,32.5
Grigorii Popov,F,15.17%,30.5
Shamil Gamzatov,F,14.44%,62
Alexander Yakovlev,F,13.38%,28
Sergey Khandozhko,F,12.61%,12.5
Ramazan Emeev,F,12.45%,15
Danny Roberts,F,11.40%,93.5
David Zawada,F,10.26%,91
Pannie Kianzad,F,7.04%,79
Gadzhimurad Antigulov,F,0.03%,0
